Unnamed: 0.1,Unnamed: 0,Site ID,Node ID,Distance from Node to Ground (mm),Grafana,Site Name,Date Deployed,Project,Node Type (from Devices (Phase 2)),dist. top of cantilever to bottom of cone (mm),"Latitude, Longitude",Nearest Intersection,Site Active,data quality,2021 Plan,Partner,Contact Name,sample frequency,GPS Elevation (m),GPS Lat/ Long,County,Bridge Key,MDOT Regional Dashboard,lat,lon,geometry,index_right,OBJECTID,Shape_Length
52,54,ARB066,,,,Woods Creek,,HRWC,,,"42.185671, -83.43126","Woods Creek Rd, S Metro Pkwy",Proposed Site,,,HRWC,"Ric Lawson, Andrea Paine",,,,Wayne,,,42.185671,-83.43126,POINT (-83.43126 42.185671),41,3604,0.2748613011517483
53,55,ARB067,,,,Silver Creek,,HRWC,,,"42.096145, -83.278192","Aspen Blvd, Gibralter Rd",Proposed Site,,,HRWC,"Ric Lawson, Andrea Paine",,,,Wayne,,,42.096145,-83.278192,POINT (-83.278192 42.096145),40,3602,0.1939760728177657
57,63,ARB075,,,,Boyden Creek,,HRWC,,,"42.332866, -83.818232","W Loch Alpine Dr, W Huron River Dr",Proposed Site,,,HRWC,"Ric Lawson, Andrea Paine",,,,Washtenaw,,,42.332866,-83.818232,POINT (-83.818232 42.332866),6,986,0.1164402483837395
58,64,ARB076,,,,Norton Creek,,HRWC,,,"42.572479, -83.569976","Garden Rd, N Wixom Rd",Proposed Site,,,HRWC,"Ric Lawson, Andrea Paine",,,,Oakland,,,42.572479,-83.569976,POINT (-83.569976 42.572479),13,1469,0.1682073083690046
59,65,ARB077,,,,Kensington Dam,,HRWC,,,"42.5129, -83.67737","Kensington Rd, Grand River Ave. ",Proposed Site,,,HRWC,"Ric Lawson, Andrea Paine",,,,Livingston,,,42.5129,-83.67737,POINT (-83.67737 42.5129),32,3560,0.0187967523572934
60,66,ARB078,,,,Riverbend,,HRWC,,,"42.504951, -83.712103","Kensington Rd, Kent Lake Beach Rd",Retired,,,HRWC,"Ric Lawson, Andrea Paine",,,,Livingston,,,42.504951,-83.712103,POINT (-83.712103 42.504951),23,3302,0.1036800378743071
61,67,ARB079,,,,Pettibone Creek,,HRWC,,,"42.58726, -83.60245","Main St, Canal St",Proposed Site,,,HRWC,"Ric Lawson, Andrea Paine",,,,Oakland,,,42.58726,-83.60245,POINT (-83.60245 42.58726),51,3671,0.0506755877177324
62,68,ARB080,,1791.0,http://ec2-3-142-80-107.us-east-2.compute.amazonaws.com:3000/d/TG6HiqGnk/regan-drain?orgId=1&panelId=2&fullscreen&from=1628687490875&to=1628709090875,Regan Drain,8/6/2021,HRWC,,94.0,"42.131321, -83.371908","Washago Pond Rd, Interloop Rd",Retired,,,HRWC,"Ric Lawson, Andrea Paine",10.0,,,Wayne,,,42.131321,-83.371908,POINT (-83.371908 42.131321),41,3604,0.2748613011517483
64,70,ARB082,067A,1574.8,https://dash.digitalwaterlab.org:3000/d/_EcWgMh4k/horseshoe-creek?orgId=1&from=now-30d&to=now,Horseshoe Creek,1/4/2023,HRWC,Depth,101.6,"42.453050, -83.821780","Merrill Rd, E Michigan 36",Yes,,,HRWC,"Ric Lawson, Andrea Paine",10.0,264.347,"42.45297699, -83.82181054",Livingston,,,42.45305,-83.82178,POINT (-83.82178 42.45305),9,1110,0.1107092919976562
65,71,ARB083,116A,2438.4,https://dash.digitalwaterlab.org:3000/d/PrFpViG4k/arms-creek-at-strawberry-lake-rd?orgId=1&from=now-30d&to=now,Arms Creek @ Strawberry Lake Rd,8/22/2022,HRWC,Depth,101.6,"42.423028, -83.879806","Strawberry Lake Rd, Mast Rd",Yes,,,HRWC,"Ric Lawson, Andrea Paine",10.0,265.0934,"42.42299276, -83.87980123",Washtenaw,,,42.423028,-83.879806,POINT (-83.879806 42.423028),7,1063,0.0770713603579969
66,73,ARB085,,,,Huron @ Willow Metropark,,HRWC,,,"42.142860, -83.381358",Near I-275,Proposed Site,,,HRWC,"Ric Lawson, Andrea Paine",10.0,,,Wayne,,,42.14286,-83.381358,POINT (-83.381358 42.14286),41,3604,0.2748613011517483
69,77,ARB088,030B,2146.3,https://dash.digitalwaterlab.org:3000/d/bvuKL454z/fountain-blue-gi-node?orgId=1,Fountain Blue,10/27/2022,Washtenaw Co.,GI,101.6,"42.2409275, -83.7583823",,Yes,,,Washtenaw Co.,Harry Sheehan,10.0,272.339,"42.2409275, -83.7583823",Washtenaw,,,42.2409275,-83.7583823,POINT (-83.7583823 42.2409275),8,1091,0.0329762970695934
70,79,ARB090,,431.8,https://dash.digitalwaterlab.org:3000/d/25fJL454k/kingsley-condo-221-felch-gi-node?orgId=1,Kingsley Condo 221 Felch,11/3/2022,Washtenaw Co.,,,"42.2859095, -83.7502984",,Retired,,,Washtenaw Co.,Harry Sheehan,10.0,782.0,"42.2859095, -83.7502984",Washtenaw,,,42.2859095,-83.7502984,POINT (-83.7502984 42.2859095),48,3649,0.0141129175168039
71,80,ARB092,024B,790.6,https://dash.digitalwaterlab.org:3000/d/P_BQmsb4k/swift-run-at-us23-crossing?orgId=1,Swift Run @ US23 Crossing,3/2/2023,Washtenaw Co.,GI,,"42.2649269, -83.6764197",,Yes,,,Washtenaw Co.,Harry Sheehan,10.0,207.071,"42.2649269, -83.6764197",Washtenaw,,,42.2649269,-83.6764197,POINT (-83.6764197 42.2649269),29,3534,0.0849188786610649
72,81,ARB093,034B,616.0,https://dash.digitalwaterlab.org:3000/d/lXqjiybVk/swift-run-southeast-area-park?orgId=1,Swift Run @ Southeast Area Park,3/2/2023,Washtenaw Co.,GI,,"42.2331155, -83.7045296",,Yes,,,Washtenaw Co.,Harry Sheehan,10.0,,,Washtenaw,,,42.2331155,-83.7045296,POINT (-83.7045296 42.2331155),29,3534,0.0849188786610649
73,82,ARB094,021B,749.3,https://dash.digitalwaterlab.org:3000/d/-KTRZsx4z/swift-run-us23-s-entrance-ramp-crossing-north-sylvan-park?orgId=1,Swift Run @ US23 S Entrance Ramp,3/2/2023,Washtenaw Co.,GI,,"42.2530220, -83.6854175",,Yes,,,Washtenaw Co.,Harry Sheehan,10.0,251.1,"42.2530220, -83.6854175",Washtenaw,,,42.253022,-83.6854175,POINT (-83.6854175 42.253022),29,3534,0.0849188786610649
74,83,ARB095,092A,1955.8,https://dash.digitalwaterlab.org:3000/d/IJWnXrE4k/swift-run-and-packard?orgId=1,Swift Run and Packard,3/7/2023,Washtenaw Co.,Depth,279.4,"42.24496906, -83.69190366",,Yes,,,Washtenaw Co.,Harry Sheehan,10.0,247.701,"42.24496906, -83.69190366",Washtenaw,,,42.24496906,-83.69190366,POINT (-83.69190366 42.24496906),29,3534,0.0849188786610649
75,85,ARB097,033B,355.6,https://dash.digitalwaterlab.org:3000/d/RJxWnAP4z/swift-run-atwhitewood-st?orgId=1,Swift Run @ Whitewood St,4/14/2023,Washtenaw Co.,GI,,"42.2478431, -83.6902089",,Yes,,,Washtenaw Co.,Harry Sheehan,10.0,,,Washtenaw,,,42.2478431,-83.6902089,POINT (-83.6902089 42.2478431),29,3534,0.0849188786610649
76,86,ARB098,118A,2463.8,https://dash.digitalwaterlab.org:3000/d/wwiaMv_4z/county-farm-park-depth-sensors?orgId=1&from=now-30d&to=now,County Farm Park Valve Sensor 1,5/25/2023,Washtenaw Co.,Depth,101.6,"42.25766582, -83.70406076",,Yes,,,Washtenaw Co.,Harry Sheehan,10.0,221.849,"42.25768461, -83.70407030",Washtenaw,,,42.25766582,-83.70406076,POINT (-83.70406076 42.25766582),0,123,0.0425205326278317
77,87,ARB099,132A,2322.4,https://dash.digitalwaterlab.org:3000/d/wwiaMv_4z/county-farm-park-depth-sensors?orgId=1&from=now-30d&to=now,County Farm Park Valve Sensor 2,5/25/2023,Washtenaw Co.,Depth,101.6,"42.25766259, -83.70383202",,Yes,,,Washtenaw Co.,Harry Sheehan,10.0,213.128,"42.25767130, -83.70384983",Washtenaw,,,42.25766259,-83.70383202,POINT (-83.70383202 42.25766259),0,123,0.0425205326278317
